448
A,12,26
B,17,46
C,19,45
D,6,46
E,7,32
F,15,21
G,10,7
H,16,28
I,4,20
J,8,44
K,17,9
L,13,32
M,6,45
N,5,12
O,12,23
P,17,18
Q,12,14
R,9,47
S,2,38
T,20,43
U,19,25
V,4,28
W,4,24
X,8,46
Y,20,17
Z,18,8
AA,3,37
AB,6,28
AC,12,40
AD,10,13
AE,2,24
AF,20,37
AG,12,9
AH,5,42
AI,4,49
AJ,4,20
AK,16,23
AL,15,17
AM,9,7
AN,3,40
AO,18,20
AP,18,30
AQ,5,34
AR,20,50
AS,3,29
AT,13,18
AU,16,8
AV,16,14
AW,14,33
AX,12,10
AY,11,10
AZ,14,8
BA,5,49
BB,8,25
BC,13,7
BD,10,23
BE,16,5
BF,7,48
BG,17,50
BH,16,33
BI,8,22
BJ,7,17
BK,7,41
BL,19,14
