378
A,5,7
B,2,4
C,13,24
D,5,28
E,10,25
F,5,10
G,16,26
H,8,11
I,14,41
J,15,44
K,17,30
L,11,45
M,3,38
N,12,3
O,17,25
P,18,27
Q,8,42
R,3,16
S,11,5
T,17,16
U,20,36
V,4,5
W,4,22
X,8,26
Y,9,9
Z,1,43
AA,6,3
AB,18,33
AC,7,5
AD,2,26
AE,12,26
AF,3,22
AG,13,35
AH,13,22
AI,1,41
AJ,12,35
AK,15,26
AL,15,12
AM,8,36
AN,3,32
AO,9,43
AP,3,23
AQ,9,15
AR,12,29
AS,16,22
AT,15,4
AU,13,25
AV,11,28
AW,18,14
AX,18,37
AY,16,20
AZ,2,30
BA,19,25
BB,18,23
BC,20,8
BD,20,3
BE,20,4
BF,5,39
BG,13,11
BH,14,27
BI,20,22
BJ,16,42
BK,12,34
